0.69636, 0.69636, 0.12279, 0.12279, 0.00000
0.65081, 0.68919, 0.27650, 0.15818, 3.09600
0.68375, 0.70621, 0.18024, -0.03566, 6.02800
0.68662, 0.70196, 0.16896, 0.08518, 8.76400
0.69482, 0.70558, 0.13126, 0.04649, 11.89500
0.69880, 0.70276, 0.10809, 0.07827, 14.81600
0.70499, 0.70499, 0.05468, 0.05468, 17.66900
0.69875, 0.70555, 0.10836, 0.04695, 19.55700
0.69578, 0.70599, 0.12606, 0.03978, 22.12800
0.68582, 0.69824, 0.17221, 0.11163, 24.58400
0.70708, 0.68815, -0.00631, 0.16265, 28.24500
0.67057, 0.70686, 0.22437, -0.01851, 3.55400
0.70442, 0.68301, 0.06163, 0.18301, 6.87200
0.67438, 0.70643, 0.21263, -0.03084, 10.46600
0.69636, 0.66446, 0.12279, 0.24184, 13.92300
0.67438, 0.70643, 0.21263, -0.03084, 17.95400
0.70256, 0.67799, 0.08005, 0.20083, 21.74900
0.67438, 0.70643, 0.21263, -0.03084, 25.52300
0.70711, 0.69636, 0.00000, 0.12279, 29.18900
0.69035, 0.70106, 0.15305, 0.09230, 4.06200
0.69840, 0.66858, 0.11062, 0.23021, 7.79800
0.69035, 0.70106, 0.15305, 0.09230, 11.69800
0.70023, 0.67250, 0.09841, 0.21851, 15.68400
0.69035, 0.70106, 0.15305, 0.09230, 19.44800
0.70668, 0.69165, 0.02468, 0.14702, 23.22500
0.69035, 0.70106, 0.15305, 0.09230, 27.00300
