-0.23058, -0.06233, 0.05447, 0.96953
-0.17023, 0.02060, -0.00056, 0.98519
-0.06243, 0.01544, -0.02929, 0.99750
-0.12528, 0.02182, -0.03250, 0.99135
-0.13097, 0.02717, -0.07057, 0.98850
-0.13252, 0.02892, -0.09252, 0.98643
-0.08521, 0.02322, -0.05522, 0.99456
-0.10389, -0.05806, 0.01499, 0.99278
-0.10320, -0.05616, 0.02588, 0.99274
-0.10318, -0.05607, 0.02600, 0.99274
-0.10316, -0.05597, 0.02611, 0.99275
-0.10314, -0.05588, 0.02622, 0.99275
-0.10312, -0.05578, 0.02634, 0.99275
-0.10310, -0.05569, 0.02646, 0.99276
-0.14358, 0.02401, -0.01967, 0.98915
-0.13905, -0.06310, 0.02455, 0.98797
-0.13828, -0.06034, 0.03573, 0.98791
-0.13827, -0.06022, 0.03590, 0.98791
-0.13827, -0.06010, 0.03607, 0.98791
-0.13825, -0.05998, 0.03623, 0.98791
-0.13825, -0.05986, 0.03640, 0.98792
-0.13824, -0.05974, 0.03658, 0.98792
-0.19492, 0.02637, -0.02224, 0.98021
-0.24626, -0.05532, 0.02507, 0.96730
-0.26132, 0.03052, -0.02782, 0.96437
-0.20154, -0.06863, 0.02934, 0.97663
-0.20773, 0.02397, -0.00962, 0.97784
-0.17234, -0.06900, 0.02950, 0.98217
-0.20774, 0.02642, -0.01668, 0.97769
-0.20340, 0.03089, -0.05601, 0.97700
-0.14825, 0.02679, -0.04348, 0.98763
-0.21314, 0.03321, -0.05658, 0.97482
-0.20102, 0.03391, -0.06532, 0.97682
-0.20761, 0.03151, -0.05597, 0.97610
-0.20680, 0.03080, -0.05573, 0.97631
-0.14765, 0.02749, -0.04441, 0.98766
-0.21768, 0.03372, -0.05939, 0.97363
