-0.17023, 0.02060, -0.00056, 0.98519, 9.44900
-0.06243, 0.01544, -0.02929, 0.99750, 14.81500
-0.12528, 0.02182, -0.03250, 0.99135, 19.35500
-0.13097, 0.02717, -0.07057, 0.98850, 21.70700
-0.13252, 0.02892, -0.09252, 0.98643, 24.11000
-0.08521, 0.02322, -0.05522, 0.99456, 1.52500
-0.10389, -0.05806, 0.01499, 0.99278, 4.91900
-0.10320, -0.05616, 0.02588, 0.99274, 5.04700
-0.10318, -0.05607, 0.02600, 0.99274, 5.04800
-0.10316, -0.05597, 0.02611, 0.99275, 5.04900
-0.10314, -0.05588, 0.02622, 0.99275, 5.05000
-0.10312, -0.05578, 0.02634, 0.99275, 5.05100
-0.10310, -0.05569, 0.02646, 0.99276, 5.05200
-0.14358, 0.02401, -0.01967, 0.98915, 8.26100
-0.13905, -0.06310, 0.02455, 0.98797, 11.65600
-0.13828, -0.06034, 0.03573, 0.98791, 11.78400
-0.13827, -0.06022, 0.03590, 0.98791, 11.78500
-0.13827, -0.06010, 0.03607, 0.98791, 11.78600
-0.13825, -0.05998, 0.03623, 0.98791, 11.78700
-0.13825, -0.05986, 0.03640, 0.98792, 11.78800
-0.13824, -0.05974, 0.03658, 0.98792, 11.78900
-0.19492, 0.02637, -0.02224, 0.98021, 15.19500
-0.26132, 0.03052, -0.02782, 0.96437, 22.09800
-0.20154, -0.06863, 0.02934, 0.97663, 26.05900
-0.20773, 0.02397, -0.00962, 0.97784, 29.44400
-0.17234, -0.06900, 0.02950, 0.98217, 2.85600
-0.20774, 0.02642, -0.01668, 0.97769, 6.34400
-0.20340, 0.03089, -0.05601, 0.97700, 12.16200
-0.14825, 0.02679, -0.04348, 0.98763, 18.22900
-0.21314, 0.03321, -0.05658, 0.97482, 24.14100
-0.20102, 0.03391, -0.06532, 0.97682, 1.95300
-0.20761, 0.03151, -0.05597, 0.97610, 8.20600
-0.20680, 0.03080, -0.05573, 0.97631, 14.36500
-0.14765, 0.02749, -0.04441, 0.98766, 20.48300
-0.21768, 0.03372, -0.05939, 0.97363, 26.47800
