0.28, -1.07, -0.11, 0.93, 0.28, 0.04, 0.12
0.27, -0.97, -0.09, 0.61, 0.26, 0.02, 0.12
0.28, -0.89, -0.08, 0.42, 0.25, -0.00, 0.12
0.27, -0.95, -0.08, 0.58, 0.26, 0.00, 0.13
0.27, -0.95, -0.08, 0.64, 0.25, 0.01, 0.13
0.27, -0.94, -0.08, 0.73, 0.25, 0.01, 0.13
0.28, -0.94, -0.08, 0.86, 0.25, 0.01, 0.13
0.28, -0.92, -0.08, 0.95, 0.25, 0.01, 0.12
0.28, -0.93, -0.07, 1.10, 0.25, 0.00, 0.13
0.28, -0.97, -0.08, 1.40, 0.26, 0.01, 0.13
0.28, -1.03, -0.08, 1.67, 0.26, 0.03, 0.12
0.29, -1.13, -0.07, 1.89, 0.25, 0.05, 0.12
0.30, -1.24, -0.07, 2.00, 0.25, 0.09, 0.12
0.32, -1.54, -0.07, 2.47, 0.26, 0.19, 0.13
0.34, -1.65, -0.06, 2.46, 0.26, 0.24, 0.12
0.36, -2.14, -0.06, 3.32, 0.28, 0.41, 0.12
0.35, -2.43, -0.07, 3.67, 0.28, 0.55, 0.11
0.37, -2.56, -0.07, 3.86, 0.27, 0.67, 0.11
0.38, -2.98, -0.06, 4.58, 0.29, 0.86, 0.10
0.38, -3.17, -0.06, 4.87, 0.28, 0.98, 0.11
0.39, -3.32, -0.06, 5.11, 0.29, 1.09, 0.11
0.40, -3.45, -0.06, 5.42, 0.28, 1.18, 0.12
0.39, -3.63, -0.07, 5.67, 0.29, 1.26, 0.12
0.41, -3.65, -0.06, 5.70, 0.28, 1.30, 0.11
0.41, -3.66, -0.06, 5.76, 0.28, 1.32, 0.11
0.41, -3.65, -0.07, 5.73, 0.28, 1.33, 0.11
0.42, -3.62, -0.05, 5.60, 0.28, 1.32, 0.10
0.42, -3.60, -0.05, 5.55, 0.28, 1.33, 0.11
0.42, -3.59, -0.05, 5.51, 0.28, 1.32, 0.11
0.42, -3.58, -0.04, 5.46, 0.28, 1.32, 0.10
0.42, -3.55, -0.05, 5.37, 0.28, 1.31, 0.11
0.42, -3.55, -0.04, 5.26, 0.28, 1.31, 0.10
0.42, -3.54, -0.05, 5.11, 0.28, 1.32, 0.10
0.43, -3.53, -0.04, 4.95, 0.28, 1.31, 0.11
0.42, -3.54, -0.06, 4.79, 0.28, 1.32, 0.10
0.42, -3.46, -0.06, 4.45, 0.28, 1.31, 0.10
0.42, -3.36, -0.05, 4.08, 0.28, 1.26, 0.10
0.40, -3.24, -0.06, 3.85, 0.27, 1.21, 0.11
0.41, -3.09, -0.06, 3.56, 0.28, 1.14, 0.10
0.40, -2.85, -0.07, 3.21, 0.28, 1.05, 0.11
0.38, -2.76, -0.09, 3.14, 0.28, 0.98, 0.11
0.38, -2.40, -0.08, 2.52, 0.28, 0.83, 0.12
0.36, -2.25, -0.09, 2.40, 0.28, 0.75, 0.12
0.35, -1.95, -0.10, 1.91, 0.28, 0.64, 0.12
0.32, -1.61, -0.11, 1.30, 0.27, 0.51, 0.12
0.31, -1.50, -0.12, 1.19, 0.27, 0.45, 0.12
0.29, -1.18, -0.12, 0.68, 0.27, 0.35, 0.13
0.29, -1.11, -0.12, 0.66, 0.27, 0.33, 0.12
0.26, -0.95, -0.15, 0.37, 0.26, 0.29, 0.12
