0.01, -0.40, 0.01, 0.02, 0.12, -0.03, -0.01
0.02, -0.36, -0.01, 0.09, 0.15, 0.02, 0.04
0.02, -0.33, 0.00, 0.21, 0.03, -0.02, 0.07
0.02, -0.37, 0.00, 0.37, 0.05, -0.01, 0.05
0.03, -0.41, -0.03, 0.57, 0.04, -0.04, 0.10
0.01, -0.39, -0.00, 0.81, 0.05, 0.01, 0.08
0.02, -0.42, 0.01, 1.08, 0.04, 0.00, 0.05
-0.00, -0.35, 0.00, 1.38, 0.06, -0.01, 0.03
0.05, -0.40, -0.01, 1.71, 0.09, 0.02, 0.05
0.01, -0.44, -0.00, 2.06, 0.06, -0.01, 0.07
0.01, -0.57, 0.01, 2.43, 0.09, 0.00, 0.07
0.02, -0.64, 0.01, 2.81, 0.11, -0.03, 0.07
0.01, -0.89, -0.01, 3.18, 0.06, 0.04, 0.05
0.03, -1.24, 0.02, 3.56, 0.08, 0.05, 0.13
0.01, -1.51, -0.01, 3.92, 0.05, 0.22, 0.04
0.04, -1.73, -0.03, 4.27, 0.05, 0.27, 0.06
0.05, -2.08, 0.03, 4.60, 0.09, 0.60, 0.09
0.05, -2.10, 0.02, 4.91, 0.04, 0.59, 0.06
0.09, -2.15, 0.01, 5.18, 0.06, 0.63, 0.04
0.11, -2.45, 0.01, 5.42, 0.07, 0.88, -0.01
0.10, -2.51, -0.03, 5.63, 0.05, 0.88, 0.05
0.14, -2.72, -0.02, 5.79, 0.06, 0.92, 0.09
0.12, -2.98, -0.04, 5.90, 0.10, 1.05, 0.06
0.12, -2.85, 0.00, 5.98, 0.05, 1.01, 0.03
0.11, -2.91, -0.01, 6.00, 0.06, 1.10, -0.01
0.11, -2.95, -0.02, 5.98, 0.09, 1.07, 0.08
0.12, -2.98, 0.04, 5.91, 0.09, 1.07, -0.00
0.09, -2.99, 0.00, 5.79, 0.10, 1.15, 0.05
0.11, -3.02, 0.01, 5.63, 0.01, 1.11, -0.01
0.15, -2.97, -0.02, 5.43, 0.14, 1.13, 0.08
0.10, -2.97, 0.02, 5.19, 0.07, 1.13, 0.13
0.14, -3.01, 0.00, 4.92, 0.08, 1.14, 0.07
0.14, -2.99, -0.04, 4.61, 0.07, 1.15, 0.06
0.16, -2.98, -0.01, 4.28, 0.03, 1.10, 0.02
0.12, -2.96, 0.01, 3.93, 0.06, 1.15, 0.06
0.11, -2.97, 0.00, 3.57, 0.04, 1.13, 0.11
0.15, -2.92, 0.00, 3.19, 0.05, 1.06, 0.10
0.12, -2.89, -0.01, 2.82, 0.04, 1.09, 0.02
0.13, -2.94, 0.02, 2.44, 0.11, 1.10, 0.03
0.14, -2.81, -0.01, 2.08, 0.05, 1.10, 0.03
0.09, -2.78, -0.02, 1.73, 0.07, 1.05, 0.04
0.15, -2.51, -0.02, 1.40, 0.10, 1.09, 0.05
0.15, -2.56, -0.03, 1.09, 0.08, 0.89, 0.02
0.19, -2.28, -0.01, 0.82, 0.12, 0.78, 0.05
0.15, -2.03, -0.02, 0.58, 0.05, 0.62, 0.01
0.12, -2.00, -0.01, 0.37, 0.10, 0.78, 0.06
0.10, -1.73, -0.01, 0.21, 0.13, 0.63, 0.04
0.11, -1.72, 0.03, 0.10, 0.07, 0.53, 0.00
0.10, -1.62, -0.01, 0.02, 0.05, 0.53, 0.08
