0.0159, 0.3575, -0.0795, 0.2464, -0.3211, -0.0397, 0.0869
0.0159, 0.3337, -0.0558, 0.2741, -0.3339, -0.0461, 0.1336
-0.0356, 0.3576, -0.0558, 0.2226, -0.3275, -0.0589, 0.0677
0.0159, 0.4330, -0.0320, 0.1433, -0.3339, -0.0589, 0.0869
0.0159, 0.4330, -0.0558, 0.0441, -0.3211, -0.0589, 0.1208
0.0397, 0.4092, -0.0797, 0.0441, -0.3009, -0.0589, 0.0741
-0.0118, 0.3853, -0.1074, 0.0917, -0.3083, -0.0662, 0.1208
0.0397, 0.3340, -0.0043, 0.0679, -0.2945, -0.0726, 0.0869
0.0159, 0.3575, -0.0796, 0.1711, -0.3009, -0.0726, 0.0677
-0.0118, 0.3854, -0.0042, 0.1711, -0.3083, -0.0589, 0.1071
-0.0118, 0.3576, -0.0796, 0.1433, -0.3083, -0.0461, 0.0805
0.0159, 0.3853, -0.0320, 0.1433, -0.3083, -0.0333, 0.0677
-0.0356, 0.3853, -0.0320, 0.1433, -0.2945, -0.0525, 0.1135
-0.0356, 0.3338, -0.0796, 0.1711, -0.3009, -0.0589, 0.0540
0.0159, 0.3575, -0.0796, 0.1711, -0.3083, -0.0461, 0.1071
-0.0118, 0.3061, -0.0559, 0.1949, -0.3083, -0.0461, 0.0677
0.0159, 0.3338, -0.0797, 0.1949, -0.3083, -0.0397, 0.0741
0.0159, 0.3337, -0.1074, 0.1711, -0.2945, -0.0461, 0.1007
-0.0118, 0.3338, -0.0558, 0.1949, -0.3009, -0.0397, 0.0741
0.0159, 0.3338, -0.0320, 0.1949, -0.2817, -0.0397, 0.0677
0.0159, 0.3060, -0.0559, 0.2227, -0.2881, -0.0589, 0.0869
0.0159, 0.3060, -0.0797, 0.2465, -0.2817, -0.0461, 0.0476
0.0159, 0.3337, -0.0558, 0.2743, -0.2945, -0.0396, 0.1272
0.0159, 0.3060, -0.0559, 0.2227, -0.2881, -0.0332, 0.0613
-0.0356, 0.3060, -0.0559, 0.2227, -0.2881, -0.0461, 0.0943
